country,artist,listners
Australia,AC/DC,2691018
Australia,Sia,2124548
Australia,Kylie Minogue,1951310
Brazil,Colbie Caillat,1415771
Brazil,Sepultura,886301
Brazil,Cansei de Ser Sexy,868761
Canada,Drake,3379644
Canada,Nickelback,2832931
Canada,Avril Lavigne,2627363
Finland,Nightwish,1360111
Finland,Apocalyptica,1219619
Finland,Him,1043930
France,Daft Punk,3782404
France,David Guetta,2782756
France,Air,2155461
Georgia,R.E.M.,2886482
Georgia,OutKast,2508114
Georgia,T.I.,2422414
Germany,Ludwig van Beethoven,1836822
Germany,Rammstein,1809518
Germany,Scorpions,1652144
Ireland,U2,3487345
Ireland,Snow Patrol,2982390
Ireland,The Cranberries,2276320
Italy,Dean Martin,1271988
Italy,Benny Benassi,1150247
Italy,Antonio Vivaldi,1133085
Jamaica,Bob Marley,2004655
Jamaica,Bob Marley & The Wailers,1921015
Jamaica,Sean Paul,1390177
Japan,Far East Movement,975724
Japan,Blonde Redhead,812628
Japan,Bow Wow,794885
Netherlands,Armin van Buuren,1111815
Netherlands,Martin Garrix,726254
Netherlands,Armand van Helden,609176
Norway,Röyksopp,1995533
Norway,Justin Bieber,1628031
Norway,a-ha,1595929
Poland,Frédéric Chopin,1238360
Poland,Destroyer,507089
Poland,Behemoth,402347
Russia,Regina Spektor,1836766
Russia,Pyotr Ilyich Tchaikovsky,990022
Russia,t.A.T.u.,926338
Scotland,Franz Ferdinand,3203026
Scotland,Snow Patrol,2982390
Scotland,Calvin Harris,2195535
Spain,Shakira,2346168
Spain,Nelly Furtado,2258851
Spain,Jennifer Lopez,2099109
Sweden,The Cardigans,1671502
Sweden,ABBA,1659292
Sweden,José González,1629952
United Kingdom,Coldplay,5381567
United Kingdom,Radiohead,4732528
United Kingdom,Muse,4089612
United States,Red Hot Chili Peppers,4620835
United States,Rihanna,4558193
United States,Eminem,4517997
